DonorID,DonorName,RecipID,RecipName,dontot,pctgiventopacs,pctgiventoall
30242,Leonard Street and Deinard PAC,70001,Minn Chamber of Commerce Leadership Fd,"$3,000.00 ",20.40816327,2.231312756
30242,Leonard Street and Deinard PAC,40940,MOHPA PAC,"$2,000.00 ",13.60544218,1.487541837
30242,Leonard Street and Deinard PAC,40295,Friends of DFL Women,"$1,000.00 ",6.802721088,0.743770919
30242,Leonard Street and Deinard PAC,30556,St Paul Area Chamber of Commerce PAC,$450.00 ,3.06122449,0.334696913
30242,Leonard Street and Deinard PAC,70007,Coalition of MN Businesses PAC,$250.00 ,1.700680272,0.18594273
30242,Leonard Street and Deinard PAC,40872,Rural Minn Preservation,$250.00 ,1.700680272,0.18594273
30245,Minn Nurses Assn Pol Comm (MNA-PC),99999,2010/2012 Funds,"$125,000.00 ",53.05498453,21.74588565
30245,Minn Nurses Assn Pol Comm (MNA-PC),30025,Minn AFL-CIO,"$40,682.00 ",17.26706305,7.077328961
30245,Minn Nurses Assn Pol Comm (MNA-PC),30011,Minneapolis Regional Labor Federation,"$25,500.00 ",10.82321684,4.436160673
30245,Minn Nurses Assn Pol Comm (MNA-PC),30558,Education Minn PAC,"$15,000.00 ",6.366598144,2.609506278
30245,Minn Nurses Assn Pol Comm (MNA-PC),40933,Putting Minnesota First,"$10,000.00 ",4.244398762,1.739670852
30245,Minn Nurses Assn Pol Comm (MNA-PC),40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$10,000.00 ",4.244398762,1.739670852
30245,Minn Nurses Assn Pol Comm (MNA-PC),70026,Take Action PAC,"$4,500.00 ",1.909979443,0.782851883
30245,Minn Nurses Assn Pol Comm (MNA-PC),40954,America Votes - Minnesota,"$2,000.00 ",0.848879752,0.34793417
30245,Minn Nurses Assn Pol Comm (MNA-PC),30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$1,422.63 ",0.603820901,0.247490794
30245,Minn Nurses Assn Pol Comm (MNA-PC),30646,Citizens for Smith,"$1,000.00 ",0.424439876,0.173967085
30245,Minn Nurses Assn Pol Comm (MNA-PC),40295,Friends of DFL Women,$500.00 ,0.212219938,8.70E-02
30255,St Croix Valley Central Labor Union,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$3,059.96 ",100,100
30258,RKM&C Fund,30225,TRIAL-PAC,"$30,000.00 ",86.95652174,13.86690535
30258,RKM&C Fund,40268,womenwinning State PAC,"$3,000.00 ",8.695652174,1.386690535
30258,RKM&C Fund,40835,21st Century Democrats,"$1,000.00 ",2.898550725,0.462230178
30258,RKM&C Fund,40295,Friends of DFL Women,$500.00 ,1.449275362,0.231115089
30260,Management Concerned for Public Education,30613,Ewald Political Fund,$250.00 ,55.55555556,3.745318352
30260,Management Concerned for Public Education,40979,Rochester Citizens Coalition,$200.00 ,44.44444444,2.996254682
30270,MAPE-PAC,30025,Minn AFL-CIO,"$25,500.00 ",47.42620761,6.192811511
30270,MAPE-PAC,99999,2010/2012 Funds,"$10,000.00 ",18.59851279,2.428553534
30270,MAPE-PAC,40933,Putting Minnesota First,"$5,250.00 ",9.764219214,1.274990605
30270,MAPE-PAC,30654,Public Safety Matters Campaign,"$5,000.00 ",9.299256394,1.214276767
30270,MAPE-PAC,30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$2,163.50 ",4.023788242,0.525417557
30270,MAPE-PAC,41084,Minneapolis Democrats for Truth,"$2,104.24 ",3.913573455,0.511025949
30270,MAPE-PAC,40954,America Votes - Minnesota,"$1,500.00 ",2.789776918,0.36428303
30270,MAPE-PAC,30634,Greater Minnesota Votes,"$1,000.00 ",1.859851279,0.242855353
30270,MAPE-PAC,40295,Friends of DFL Women,$750.00 ,1.394888459,0.182141515
30270,MAPE-PAC,41005,Edinans for Erhardt,$500.00 ,0.929925639,0.121427677
30273,Duluth Central Labor Body COPE Fund,40994,Northeast ALC PAC,"$1,314.11 ",100,32.05060352
30274,Beer PAC-Minn Beer Wholesalers Assoc,40295,Friends of DFL Women,$500.00 ,100,0.30105973
30288,Minn Police & Peace Officers Assoc Leg Fund,40295,Friends of DFL Women,$250.00 ,55.55555556,0.597371565
30288,Minn Police & Peace Officers Assoc Leg Fund,40872,Rural Minn Preservation,$200.00 ,44.44444444,0.477897252
30308,IFO Political Action Committee Fund (Inter Faculty Organization),40295,Friends of DFL Women,"$1,700.00 ",62.96296296,1.119231022
30308,IFO Political Action Committee Fund (Inter Faculty Organization),40872,Rural Minn Preservation,"$1,000.00 ",37.03703704,0.65837119
30316,IBEW 110 PAC,30331,IBEW - COPE,"$75,258.00 ",90.06677996,38.16643686
30316,IBEW 110 PAC,30625,WIN Minnesota Political Action Fund,"$5,000.00 ",5.983867493,2.535706295
30316,IBEW 110 PAC,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$2,000.00 ",2.393546997,1.014282518
30316,IBEW 110 PAC,30617,Building Trades C1 PAC Fund,$750.00 ,0.897580124,0.380355944
30316,IBEW 110 PAC,30088,AFL-CIO Southeast Central Labor Council,$300.00 ,0.35903205,0.152142378
30316,IBEW 110 PAC,30634,Greater Minnesota Votes,$250.00 ,0.299193375,0.126785315
30325,St Paul Pipefitters Local 455 PAC,30599,Minn Pipe Trades Assn PAC Fund,"$5,677.00 ",76.95540192,4.948699844
30325,St Paul Pipefitters Local 455 PAC,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$1,000.00 ",13.55564593,0.871710383
30325,St Paul Pipefitters Local 455 PAC,40872,Rural Minn Preservation,$500.00 ,6.777822963,0.435855191
30325,St Paul Pipefitters Local 455 PAC,30618,Working Families Fund,$200.00 ,2.711129185,0.174342077
30337,Health Partners Civic Affairs Council,40295,Friends of DFL Women,$250.00 ,100,1.782531194
30345,Winthrop & Weinstine PA Political Fund,40295,Friends of DFL Women,"$1,000.00 ",41.66666667,3.423411272
30345,Winthrop & Weinstine PA Political Fund,30556,St Paul Area Chamber of Commerce PAC,$650.00 ,27.08333333,2.225217327
30345,Winthrop & Weinstine PA Political Fund,41047,Pro Jobs Majority,$500.00 ,20.83333333,1.711705636
30345,Winthrop & Weinstine PA Political Fund,40979,Rochester Citizens Coalition,$250.00 ,10.41666667,0.855852818
30348,Mah Mah Wi No Min Fund I,70026,Take Action PAC,"$10,000.00 ",94.33962264,1.093541544
30348,Mah Mah Wi No Min Fund I,70013,TwinWest Chamber of Commerce PAC,$600.00 ,5.660377358,6.56E-02
30548,Carpenters Union Local #87 PAF,30561,North Central States Carpenters PAC,$839.27 ,100,13.45141339
30550,Suburban School Emp Local 284 Pol Act Fund,30037,SEIU Minn State Council Political Fund,"$77,015.41 ",84.65426367,72.01948326
30550,Suburban School Emp Local 284 Pol Act Fund,30025,Minn AFL-CIO,"$13,961.00 ",15.34573633,13.05536133
30552,NARAL Pro-Choice Minn Election Fund,40933,Putting Minnesota First,"$2,200.00 ",100,65.67164179
30553,Minn CAP-PAC,30613,Ewald Political Fund,$250.00 ,100,5.319148936
30555,Prairie Island Indian Community PAC,40295,Friends of DFL Women,"$1,000.00 ",100,0.154040719
30556,St Paul Area Chamber of Commerce PAC,30603,St Paul Police Federation Political Awareness Fund,"$10,000.00 ",90.90909091,79.6812749
30556,St Paul Area Chamber of Commerce PAC,70007,Coalition of MN Businesses PAC,"$1,000.00 ",9.090909091,7.96812749
30557,NAIOP Economic Growth Fund,70007,Coalition of MN Businesses PAC,"$42,000.00 ",97.6744186,70.29288703
30557,NAIOP Economic Growth Fund,41035,MN FORWARD,"$1,000.00 ",2.325581395,1.673640167
30558,Education Minn PAC,99999,2010/2012 Funds,"$580,000.00 ",62.37531658,20.21565059
30558,Education Minn PAC,30623,Working America Minn Political Committee,"$105,000.00 ",11.29208317,3.659729849
30558,Education Minn PAC,30025,Minn AFL-CIO,"$72,000.00 ",7.743142748,2.509529039
30558,Education Minn PAC,70026,Take Action PAC,"$50,000.00 ",5.377182464,1.742728499
30558,Education Minn PAC,30288,Minn Police & Peace Officers Assoc Leg Fund,"$40,000.00 ",4.301745971,1.394182799
30558,Education Minn PAC,30654,Public Safety Matters Campaign,"$40,000.00 ",4.301745971,1.394182799
30558,Education Minn PAC,30634,Greater Minnesota Votes,"$10,000.00 ",1.075436493,0.3485457
30558,Education Minn PAC,30637,Somali Action Alliance Political Fund,"$10,000.00 ",1.075436493,0.3485457
30558,Education Minn PAC,40933,Putting Minnesota First,"$8,000.00 ",0.860349194,0.27883656
30558,Education Minn PAC,80024,Alliance for a Better Minnesota Action Fund,"$5,000.00 ",0.537718246,0.17427285
30558,Education Minn PAC,30011,Minneapolis Regional Labor Federation,"$2,590.00 ",0.278538052,9.03E-02
30558,Education Minn PAC,40295,Friends of DFL Women,"$2,000.00 ",0.215087299,6.97E-02
30558,Education Minn PAC,30225,TRIAL-PAC,"$2,000.00 ",0.215087299,6.97E-02
30558,Education Minn PAC,30270,MAPE-PAC,"$1,500.00 ",0.161315474,5.23E-02
30558,Education Minn PAC,40872,Rural Minn Preservation,"$1,340.00 ",0.14410849,4.67E-02
30558,Education Minn PAC,40268,womenwinning State PAC,$425.00 ,4.57E-02,1.48E-02
30559,ARM - Political Action Comm,40098,Road PAC of Minn,"$1,000.00 ",100,80
30560,So Dakota Cty Labor Council COPE Fund,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$3,650.14 ",100,82.02303748
30561,North Central States Carpenters PAC,40954,America Votes - Minnesota,"$8,000.00 ",31.09225539,1.216958845
30561,North Central States Carpenters PAC,41005,Edinans for Erhardt,"$5,000.00 ",19.43265962,0.760599278
30561,North Central States Carpenters PAC,30654,Public Safety Matters Campaign,"$5,000.00 ",19.43265962,0.760599278
30561,North Central States Carpenters PAC,30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$1,304.88 ",5.071457776,0.198498157
30561,North Central States Carpenters PAC,30646,Citizens for Smith,"$1,000.00 ",3.886531923,0.152119856
30561,North Central States Carpenters PAC,30058,International Union of Operating Engineers,"$1,000.00 ",3.886531923,0.152119856
30561,North Central States Carpenters PAC,70026,Take Action PAC,"$1,000.00 ",3.886531923,0.152119856
30561,North Central States Carpenters PAC,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),$525.00 ,2.04042926,0.079862924
30561,North Central States Carpenters PAC,30592,Carpenters Local Union 361 Pol Fund,$500.00 ,1.943265962,7.61E-02
30561,North Central States Carpenters PAC,40295,Friends of DFL Women,$500.00 ,1.943265962,7.61E-02
30561,North Central States Carpenters PAC,30012,Minneapolis Bldg & Construct Trades Council,$500.00 ,1.943265962,7.61E-02
30561,North Central States Carpenters PAC,40098,Road PAC of Minn,$500.00 ,1.943265962,7.61E-02
30561,North Central States Carpenters PAC,40983,Maplewood Voters Coalition,$300.00 ,1.165959577,4.56E-02
30561,North Central States Carpenters PAC,40782,Carpenters Local 1644 PAC,$250.00 ,0.971632981,3.80E-02
30561,North Central States Carpenters PAC,30600,Carpenters Local 930 PAC,$200.00 ,0.777306385,3.04E-02
30561,North Central States Carpenters PAC,30617,Building Trades C1 PAC Fund,$150.00 ,0.582979788,2.28E-02
30563,Bois Forte Political Education Fund,40295,Friends of DFL Women,"$2,000.00 ",100,3.072196621
30567,BCA Agents Political Fund,30654,Public Safety Matters Campaign,"$2,500.00 ",100,100
30568,Rice Michels & Walther LLP Political Fund,30603,St Paul Police Federation Political Awareness Fund,$200.00 ,100,1.18371107
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,40872,Rural Minn Preservation,$500.00 ,56.28855766,2.76422081
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,30599,Minn Pipe Trades Assn PAC Fund,$388.28 ,43.71144234,2.146583313
30575,CWA Minnesota State Council,30088,AFL-CIO Southeast Central Labor Council,$300.00 ,100,3.125
30576,CWA Local 7250 Political Fund,30575,CWA Minnesota State Council,$492.58 ,100,100
30577,Plumbers & Steamfitters Local 11 PAC Fund,30599,Minn Pipe Trades Assn PAC Fund,"$1,533.08 ",88.45985182,5.6181307
30577,Plumbers & Steamfitters Local 11 PAC Fund,40403,8th Congressional District COPE AFL-CIO,$200.00 ,11.54014818,0.732920748
30580,D B I - E - PAG,40098,Road PAC of Minn,$875.30 ,100,100
30584,Best & Flanagan Political Fund,40295,Friends of DFL Women,"$1,750.00 ",89.74358974,3.395585739
30584,Best & Flanagan Political Fund,40967,Senate District 30 Fund,$200.00 ,10.25641026,0.388066942
30587,Goff Public PAC,40936,21st Senate District Republican Party,"$2,500.00 ",83.33333333,4.945598417
30587,Goff Public PAC,40295,Friends of DFL Women,$250.00 ,8.333333333,0.494559842
30587,Goff Public PAC,30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),$250.00 ,8.333333333,0.494559842
30588,Sheet Metal Workers PAC 10,30608,MN State Bldg & Construction Trades Cncl Pol Fund,$558.60 ,34.38469493,0.462840365
30588,Sheet Metal Workers PAC 10,40403,8th Congressional District COPE AFL-CIO,$500.00 ,30.77756439,0.414286041
30588,Sheet Metal Workers PAC 10,30011,Minneapolis Regional Labor Federation,$315.96 ,19.44895849,0.261795635
30588,Sheet Metal Workers PAC 10,30634,Greater Minnesota Votes,$250.00 ,15.38878219,0.20714302
30591,Minn Seasonal Recreational Property Owners PAC,40872,Rural Minn Preservation,$500.00 ,50,1.367989056
30591,Minn Seasonal Recreational Property Owners PAC,40295,Friends of DFL Women,$250.00 ,25,0.683994528
30591,Minn Seasonal Recreational Property Owners PAC,40981,Progressive Majority Minnesota,$250.00 ,25,0.683994528
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,99999,2010/2012 Funds,"$250,000.00 ",49.73250972,20.92295647
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30025,Minn AFL-CIO,"$86,047.55 ",17.11744247,7.201476572
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,40933,Putting Minnesota First,"$25,500.00 ",5.072715991,2.13414156
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30654,Public Safety Matters Campaign,"$25,000.00 ",4.973250972,2.092295647
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30623,Working America Minn Political Committee,"$22,687.50 ",4.513225257,1.8987583
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30011,Minneapolis Regional Labor Federation,"$20,000.00 ",3.978600777,1.673836517
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,80024,Alliance for a Better Minnesota Action Fund,"$16,300.00 ",3.242559634,1.364176762
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30634,Greater Minnesota Votes,"$15,000.00 ",2.983950583,1.255377388
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,40994,Northeast ALC PAC,"$10,800.00 ",2.14844442,0.903871719
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30273,Duluth Central Labor Body COPE Fund,"$10,000.00 ",1.989300389,0.836918259
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,41005,Edinans for Erhardt,"$6,000.00 ",1.193580233,0.502150955
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,70026,Take Action PAC,"$6,000.00 ",1.193580233,0.502150955
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30225,TRIAL-PAC,"$4,000.00 ",0.795720155,0.334767303
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,40954,America Votes - Minnesota,"$2,000.00 ",0.397860078,0.167383652
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30646,Citizens for Smith,"$2,000.00 ",0.397860078,0.167383652
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,41084,Minneapolis Democrats for Truth,$854.24 ,0.169933996,7.15E-02
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,30191,VOTE - 66,$500.00 ,9.95E-02,4.18E-02
30594,Boilermakers 647 Political Action Fund,30025,Minn AFL-CIO,"$10,000.00 ",90.90909091,4.703945434
30594,Boilermakers 647 Political Action Fund,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$1,000.00 ",9.090909091,0.470394543
30599,Minn Pipe Trades Assn PAC Fund,30025,Minn AFL-CIO,"$1,920.80 ",40.85634977,2.504019755
30599,Minn Pipe Trades Assn PAC Fund,30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$1,230.55 ",26.17439672,1.604186542
30599,Minn Pipe Trades Assn PAC Fund,40295,Friends of DFL Women,$750.00 ,15.9528646,0.977725331
30599,Minn Pipe Trades Assn PAC Fund,30617,Building Trades C1 PAC Fund,$300.00 ,6.381145841,0.391090132
30599,Minn Pipe Trades Assn PAC Fund,30012,Minneapolis Bldg & Construct Trades Council,$300.00 ,6.381145841,0.391090132
30599,Minn Pipe Trades Assn PAC Fund,40872,Rural Minn Preservation,$200.00 ,4.254097227,0.260726755
30602,SEIU Local 26 Political Fund,30037,SEIU Minn State Council Political Fund,"$66,107.47 ",100,80.76417242
30606,UNITE HERE TIP State and Local Fund-MN,30060,Minn State Council of UNITE HERE Unions,"$37,500.00 ",100,71.42857143
30608,MN State Bldg & Construction Trades Cncl Pol Fund,30025,Minn AFL-CIO,"$5,000.00 ",55.55555556,3.529677778
30608,MN State Bldg & Construction Trades Cncl Pol Fund,30623,Working America Minn Political Committee,"$2,500.00 ",27.77777778,1.764838889
30608,MN State Bldg & Construction Trades Cncl Pol Fund,40295,Friends of DFL Women,"$1,500.00 ",16.66666667,1.058903333
30611,IUPAT Political Action Together Pol Committee,30025,Minn AFL-CIO,"$18,251.00 ",66.97368904,12.48349874
30611,IUPAT Political Action Together Pol Committee,30011,Minneapolis Regional Labor Federation,"$6,500.00 ",23.85233569,4.445934022
30611,IUPAT Political Action Together Pol Committee,40981,Progressive Majority Minnesota,"$2,000.00 ",7.339180214,1.367979699
30611,IUPAT Political Action Together Pol Committee,30617,Building Trades C1 PAC Fund,$500.00 ,1.834795053,0.341994925
30617,Building Trades C1 PAC Fund,40872,Rural Minn Preservation,$450.00 ,100,1.549053356
30618,Working Families Fund,30634,Greater Minnesota Votes,"$5,000.00 ",66.66666667,24.57002457
30618,Working Families Fund,30623,Working America Minn Political Committee,"$2,500.00 ",33.33333333,12.28501229
30619,Federal Express Minn State Fund,40936,21st Senate District Republican Party,$500.00 ,100,2.958579882
30625,WIN Minnesota Political Action Fund,80024,Alliance for a Better Minnesota Action Fund,"$5,429,920.30 ",95.30375517,95.30375517
30625,WIN Minnesota Political Action Fund,99999,2010/2012 Funds,"$129,770.00 ",2.27767032,2.27767032
30625,WIN Minnesota Political Action Fund,30623,Working America Minn Political Committee,"$100,000.00 ",1.755159374,1.755159374
30625,WIN Minnesota Political Action Fund,30629,Impact Minnesota Political Fund,"$29,500.00 ",0.517772015,0.517772015
30625,WIN Minnesota Political Action Fund,30654,Public Safety Matters Campaign,"$5,000.00 ",8.78E-02,8.78E-02
30625,WIN Minnesota Political Action Fund,40933,Putting Minnesota First,"$3,298.00 ",5.79E-02,5.79E-02
30626,East Central MN Area Labor Council COPE,30634,Greater Minnesota Votes,$500.00 ,100,4.807692308
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",40933,Putting Minnesota First,"$5,000.00 ",100,100
30631,HRC Equality Votes Minnesota,99999,2010/2012 Funds,"$110,000.00 ",84.61538462,84.61538462
30631,HRC Equality Votes Minnesota,30633,OutFront MN Action Independent Expenditure Fund,"$20,000.00 ",15.38461538,15.38461538
30635,Housing First,40989,Minnesota's Future,"$10,000.00 ",57.14285714,57.14285714
